t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y
2.504535E1,,,,,,,,,,
2.507870E1,,,,,,,,,,
2.511205E1,,,,,,,,,,
2.514540E1,,,,,,,,,,
2.517874E1,,,,,,,,,,
2.521209E1,,,,,,,,,,
2.524544E1,,,,,,,,,,
2.527879E1,,,,,,,,,,
2.531214E1,,,,,,,,,,
2.534549E1,,,,,,,,,,
2.537884E1,,,,,,,,,,
2.541219E1,,,,,,,,,,
2.544554E1,,,,,,,,,,
2.547889E1,,,,,,,,,,
2.551224E1,,,,,,,,,,
2.554559E1,,,,,,,,,,
2.557894E1,,,,,,,,,,
2.561229E1,,,,,,,,,,
2.564564E1,,,,,,,,,,
2.567898E1,,,,,,,,,,
2.571233E1,,,,,,,,,,
2.574568E1,,,,,,,,,,
2.577903E1,,,,,,,,,,
2.581238E1,,,,,,,,,,
2.584573E1,,,,,,,,,,
2.587908E1,,,,,1.831333E-3,-1.550773E-4,,,,
2.591243E1,,,,,2.005366E-3,-1.438462E-4,,,,
2.594578E1,,,,,1.613519E-3,-1.378488E-4,,,,
2.597913E1,,,,,1.652306E-3,-1.416997E-4,,,,
2.601248E1,,,,,1.591345E-3,-1.308733E-4,,,,
2.604583E1,,,,,1.816803E-3,-1.403373E-4,,,,
2.607918E1,,,,,1.896229E-3,-1.359179E-4,,,,
2.611253E1,,,,,1.775219E-3,-1.479679E-4,,,,
2.614588E1,,,,,1.955548E-3,-1.543421E-4,,,,
2.617922E1,,,,,1.757048E-3,-1.502275E-4,,,,
2.621257E1,,,,,1.770407E-3,-1.432915E-4,,,,
2.624592E1,,,,,1.769352E-3,-1.509057E-4,,,,
2.627927E1,,,,,1.775108E-3,-1.464208E-4,,,,
2.631262E1,,,,,1.807751E-3,-1.393281E-4,,,,
2.634597E1,,,,,1.969002E-3,-1.522867E-4,,,,
2.637932E1,,,,,2.016596E-3,-1.575132E-4,,,,
2.641267E1,,,,,2.179581E-3,-1.602367E-4,,,,
2.644602E1,,,,,2.215990E-3,-1.768449E-4,,,,
2.647937E1,,,,,2.372017E-3,-1.230930E-4,,,,
2.651272E1,,,,,2.561463E-3,-1.145692E-4,,,,
2.654607E1,,,,,2.662056E-3,-1.168798E-4,,,,
2.657942E1,,,,,2.844962E-3,-1.163647E-4,,,,
2.661277E1,,,,,2.661544E-3,-1.142605E-4,,,,
2.664612E1,,,,,2.875828E-3,-1.213310E-4,,,,
2.667946E1,,,,,2.472976E-3,-1.238644E-4,,,,
2.671281E1,,,,,2.298823E-3,-1.528473E-4,,,,
2.674616E1,,,,,2.119779E-3,-1.702232E-4,,,,
2.677951E1,,,,,1.699331E-3,-1.469964E-4,,,,
2.681286E1,,,,,1.898024E-3,-1.250007E-4,,,,
2.684621E1,,,,,1.496940E-3,-1.205730E-4,,,,
2.687956E1,,,,,1.703393E-3,-1.369380E-4,,,,
2.691291E1,,,,,1.786042E-3,-1.436228E-4,,,,
2.694626E1,,,,,1.957584E-3,-1.296962E-4,,,,
2.697961E1,,,,,2.027422E-3,-1.305914E-4,,,,
2.701296E1,,,,,2.369243E-3,-1.052791E-4,,,,
2.704631E1,,,,,2.184939E-3,-1.515605E-4,,,,
2.707966E1,,,,,2.220617E-3,-1.271423E-4,,,,
2.711301E1,,,,,2.212526E-3,-1.495760E-4,,,,
2.714636E1,,,,,2.222662E-3,-1.306504E-4,,,,
2.717970E1,,,,,2.225115E-3,-1.465007E-4,,,,
2.721305E1,,,,,2.417609E-3,-1.106419E-4,,,,
2.724640E1,,,,,3.125071E-3,-1.213172E-4,,,,
2.727975E1,,,,,3.726249E-3,-1.009562E-4,,,,
2.731310E1,,,,,4.787464E-3,-2.212566E-4,,,,
2.734645E1,,,,,5.987869E-3,-1.032936E-4,,,,
2.737980E1,,,,,7.335217E-3,-5.747557E-5,,,,
2.741315E1,,,,,9.040314E-3,2.680964E-5,,,,
2.744650E1,,,,,1.109934E-2,1.100699E-5,,,,
2.747985E1,,,,,1.334135E-2,1.029982E-4,,,,
2.751320E1,,,,,1.580120E-2,1.941067E-4,,,,
2.754655E1,,,,,1.864185E-2,1.905799E-4,,,,
2.757990E1,,,,,2.146373E-2,2.965645E-4,,,,
2.761325E1,,,,,2.471498E-2,2.433402E-4,,,,
2.764660E1,,,,,2.826363E-2,2.562365E-4,,,,
2.767994E1,,,,,3.193083E-2,2.093259E-4,,,,
2.771329E1,,,,,3.561082E-2,1.853419E-4,,,,
2.774664E1,,,,,4.003261E-2,3.890928E-4,,,,
2.777999E1,,,,,4.396520E-2,3.389595E-4,,,,
2.781334E1,,,,,4.860873E-2,3.508572E-4,,,,
2.784669E1,,,,,5.331157E-2,2.828365E-4,,,,
2.788004E1,,,,,5.837035E-2,2.866070E-4,,,,
