t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
3.210448E1,,,,,,,,,,,,
3.213782E1,,,,,,,,,,,,
3.217116E1,,,,,,,,,,,,
3.220449E1,,,,,,,,,,,,
3.223783E1,,,,,,,,,,,,
3.227117E1,,,,,,,,,,,,
3.230451E1,,,,,,,,,,,,
3.233785E1,,,,,,,,,,,,
3.237118E1,,,,,,,,,,,,
3.240452E1,,,,,,,,,,,,
3.243786E1,,,,,,,,,,,,
3.247120E1,,,,,,,,,,,,
3.250454E1,,,,,,,,,,,,
3.253787E1,,,,,,,,,,,,
3.257121E1,,,,,,,,,,,,
3.260455E1,,,,,,,,,,,,
3.263789E1,,,,,,,,,,,,
3.267123E1,,,,,,,,,,,,
3.270456E1,,,,,,,,,,,,
3.273790E1,,,,,,,,,,,,
3.277124E1,,,,,,,,,,,,
3.280458E1,,,,,,,,,,,,
3.283792E1,,,,,,,,,,,,
3.287125E1,,,,,,,,,,,,
3.290459E1,,,,,,,,,,,,
3.293793E1,,,,,,,,,,,,
3.297127E1,,,,,,,,,,,,
3.300461E1,,,,,,,,,,,,
3.303794E1,,,,,,,,,,,,
3.307128E1,,,,,,,,,,,,
3.310462E1,,,,,,,,,,,,
3.313796E1,,,,,,,,,,,,
3.317130E1,,,,,,,,,,,,
3.320463E1,,,,,,,,,,,,
3.323797E1,,,,,,,,,,,,
3.327131E1,,,,,,,,,,,,
3.330465E1,,,,,,,,,,,,
3.333799E1,,,,,,,,,,,,
3.337132E1,,,,,,,,,,,,
3.340466E1,,,,,,,,,,,,
3.343800E1,,,,,,,,,,,,
3.347134E1,,,,,,,,,,,,
3.350468E1,,,,,,,,,,,,
3.353801E1,,,,,,,,,,,,
3.357135E1,,,,,,,,,,,,
3.360469E1,,,,,,,,,,,,
3.363803E1,,,,,,,,,,,,
3.367137E1,,,,,,,,,,,,
3.370470E1,,,,,,,,,,,,
3.373804E1,,,,,,,,,,,,
3.377138E1,,,,,,,,,,,,
3.380472E1,,,,,,,,,,,,
3.383806E1,,,,,,,,,,,,
3.387139E1,,,,,,,,,,,,
3.390473E1,,,,,,,,,,,,
3.393807E1,,,,,,,,,,,,
3.397141E1,,,,,,,,,,,,
3.400475E1,,,,,,,,,,,,
3.403808E1,,,,,,,,,,,,
3.407142E1,,,,,,,,,,,,
3.410476E1,,,,,,,,,,,,
3.413810E1,,,,,,,,,,,,
3.417144E1,,,,,,,,,,,,
