t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
1.713504E1,,,1.215571E-1,1.448485E-3,,,,,,,,
1.716837E1,,,1.355036E-1,1.362566E-3,,,,,,,,
1.720171E1,,,1.510560E-1,6.484278E-4,,,,,,,,
1.723505E1,,,1.716876E-1,1.558089E-3,,,,,,,,
1.726838E1,,,1.901025E-1,1.298056E-3,,,,,,,,
1.730172E1,,,2.077145E-1,1.352133E-3,,,,,,,,
1.733506E1,,,2.295855E-1,1.406624E-3,,,,,,,,
1.736839E1,,,2.503394E-1,9.722696E-4,,,,,,,,
1.740173E1,,,2.720009E-1,1.201290E-3,,,,,,,,
1.743507E1,,,2.958094E-1,1.238514E-3,,,,,,,,
1.746840E1,,,3.184309E-1,1.554902E-3,,,,,,,,
1.750174E1,,,3.460794E-1,1.941598E-3,,,,,,,,
1.753508E1,,,3.689279E-1,1.891455E-3,,,,,,,,
1.756841E1,,,3.972572E-1,1.178559E-3,,,,,,,,
1.760175E1,,,4.229508E-1,1.774524E-3,,,,,,,,
1.763509E1,,,4.533223E-1,2.021845E-3,,,,,,,,
1.766842E1,,,4.802902E-1,1.378636E-3,,,,,,,,
1.770176E1,,,5.116566E-1,1.329322E-3,,,,,,,,
1.773510E1,,,5.431976E-1,1.489483E-3,,,,,,,,
1.776843E1,,,5.743546E-1,1.614696E-3,,,,,,,,
1.780177E1,,,6.075886E-1,2.316124E-3,,,,,,,,
1.783511E1,,,6.434061E-1,2.284697E-3,,,,,,,,
1.786844E1,,,6.796250E-1,2.096214E-3,,,,,,,,
1.790178E1,,,7.130892E-1,1.646172E-3,,,,,,,,
1.793512E1,,,7.478842E-1,2.617308E-3,,,,,,,,
1.796845E1,,,7.864184E-1,2.709033E-3,,,,,,,,
1.800179E1,,,8.204658E-1,1.172736E-3,,,,,,,,
1.803513E1,,,8.637947E-1,2.188691E-3,,,,,,,,
1.806846E1,,,9.043084E-1,1.972686E-3,,,,,,,,
1.810180E1,,,9.482312E-1,1.822996E-3,,,,,,,,
1.813514E1,,,9.870073E-1,1.936738E-3,,,,,,,,
1.816847E1,,,1.030732E0,1.281158E-3,,,,,,,,
1.820181E1,,,1.072895E0,1.703151E-3,,,,,,,,
1.823515E1,,,1.120469E0,1.641794E-3,,,,,,,,
1.826848E1,,,1.164436E0,1.008232E-3,,,,,,,,
1.830182E1,,,,,,,,,,,,
1.833516E1,,,,,,,,,,,,
1.836849E1,,,,,,,,,,,,
1.840183E1,,,,,,,,,,,,
1.843517E1,,,,,,,,,,,,
1.846850E1,,,,,,,,,,,,
1.850184E1,,,,,,,,,,,,
1.853517E1,,,,,,,,,,,,
1.856851E1,,,,,,,,,,,,
1.860185E1,,,,,,,,,,,,
1.863518E1,,,,,,,,,,,,
1.866852E1,,,,,,,,,,,,
1.870186E1,,,,,,,,,,,,
1.873519E1,,,,,,,,,,,,
1.876853E1,,,,,,,,,,,,
1.880187E1,,,,,,,,,,,,
1.883520E1,,,,,,,,,,,,
1.886854E1,,,,,,,,,,,,
1.890188E1,,,,,,,,,,,,
1.893521E1,,,,,,,,,,,,
1.896855E1,,,,,,,,,,,,
1.900189E1,,,,,,,,,,,,
1.903522E1,,,,,,,,,,,,
1.906856E1,,,,,,,,,,,,
1.910190E1,,,,,,,,,,,,
1.913523E1,,,,,,,,,,,,
1.916857E1,,,,,,,,,,,,
1.920191E1,,,,,,,,,,,,
1.923524E1,,,,,,,,,,,,
1.926858E1,,,,,,,,,,,,
1.930192E1,,,,,,,,,,,,
1.933525E1,,,,,,,,,,,,
1.936859E1,,,,,,,,,,,,
1.940193E1,,,,,,,,,,,,
1.943526E1,,,,,,,,,,,,
1.946860E1,,,,,,,,,,,,
1.950194E1,,,,,,,,,,,,
1.953527E1,,,,,,,,,,,,
1.956861E1,,,,,,,,,,,,
1.960195E1,,,,,,,,,,,,
1.963528E1,,,,,,,,,,,,
